url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,13,6
/CTF-FlagFrenzy/challenges/tree/main/Decryption_Master,5,1
/CTF-FlagFrenzy/challenges/tree/main,4,2
/CTF-FlagFrenzy/challenges/tree/main/Solana_Dumb_Contract,3,1
/CTF-FlagFrenzy/challenges/blob/main/Decryption_Master/create_flags.py,2,1
/CTF-FlagFrenzy/challenges/blob/main/Git_Secrets_Layers_of_Discovery/writeup.md,2,1
/CTF-FlagFrenzy/challenges/blob/main/Solana_Dumb_Contract/writeup.md,2,1
/CTF-FlagFrenzy/challenges/tree/main/Checking_Encryption,2,1
/CTF-FlagFrenzy/challenges/tree/main/Profile_Prodigy,2,1
/CTF-FlagFrenzy/challenges/blob/main/Checking_Encryption/Checking_Encryption.md,1,1
