url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,20,5
/CTF-FlagFrenzy/challenges/tree/main,10,3
/CTF-FlagFrenzy/challenges/pulls,5,3
/CTF-FlagFrenzy/challenges/tree/main/Git_Secrets_Layers_of_Discovery,5,2
/CTF-FlagFrenzy/challenges/blob/main/Git_Secrets_Layers_of_Discovery/writeup.md,3,2
/CTF-FlagFrenzy/challenges/pull/40,3,1
/CTF-FlagFrenzy/challenges/blob/main/README.md,2,2
/CTF-FlagFrenzy/challenges/tree/main/Stealth_Invoice,2,2
/CTF-FlagFrenzy/challenges/blob/main/Git_Secrets_Layers_of_Discovery/media/deleted-files.png,2,1
/CTF-FlagFrenzy/challenges/blob/main/Solana_Assets/media/image-3.png,2,1
