url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,31,4
/CTF-FlagFrenzy/challenges/tree/main,10,2
/CTF-FlagFrenzy/challenges/pulls,8,2
/CTF-FlagFrenzy/challenges/tree/main/Pydetect,7,3
/CTF-FlagFrenzy/challenges/pull/70,6,1
/CTF-FlagFrenzy/challenges/blob/main/The_Neverending_Zip/writeup.md,5,1
/CTF-FlagFrenzy/challenges/tree/main/The_Neverending_Zip,5,1
/CTF-FlagFrenzy/challenges/tree/main/Binary_Puzzeling,4,2
/CTF-FlagFrenzy/challenges/tree/main/Hidden_Frequencies,4,2
/ctf-flagfrenzy/challenges,4,1
