url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,30,5
/CTF-FlagFrenzy/challenges/tree/main,8,2
/CTF-FlagFrenzy/challenges/blob/main/Time_Travelers_Hunt/writeup.md,7,3
/CTF-FlagFrenzy/challenges/blob/main/The_Neverending_Zip/writeup.md,7,1
/CTF-FlagFrenzy/challenges/blob/main/Security_Maths/Writeup_SecurityMaths.md,6,2
/CTF-FlagFrenzy/challenges/tree/main/Decryption_Master,5,3
/CTF-FlagFrenzy/challenges/pull/76/commits,5,1
/CTF-FlagFrenzy/challenges/blob/main/Decryption_Master/writeup.md,4,3
/CTF-FlagFrenzy/challenges/blob/main/Git_Secrets_Layers_of_Discovery/writeup.md,4,2
/CTF-FlagFrenzy/challenges/blob/main/Hidden_Job/writeup.md,4,2
