url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,19,2
/CTF-FlagFrenzy/challenges/tree/main/Ceasar_Cypher,13,1
/CTF-FlagFrenzy/challenges/branches,5,1
/CTF-FlagFrenzy/challenges/blob/main/Ceasar_Cypher/start.sh,4,1
/CTF-FlagFrenzy/challenges/tree/Milestone-2,4,1
/CTF-FlagFrenzy/challenges/blob/main/Ceasar_Cypher/script.py,3,1
/CTF-FlagFrenzy/challenges/tree/main,2,2
/CTF-FlagFrenzy/challenges/activity,2,1
/CTF-FlagFrenzy/challenges/blob/main/Ceasar_Cypher/docker-compose.yml,2,1
/CTF-FlagFrenzy/challenges/blob/main/Ceasar_Cypher/Dockerfile,2,1
