url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,31,3
/CTF-FlagFrenzy/challenges/branches,15,1
/CTF-FlagFrenzy/challenges/tree/main/Ceasar_Cypher,13,1
/CTF-FlagFrenzy/challenges/tree/main,4,2
/CTF-FlagFrenzy/challenges/blob/main/Ceasar_Cypher/start.sh,4,1
/CTF-FlagFrenzy/challenges/tree/Milestone-2,4,1
/CTF-FlagFrenzy/challenges/blob/main/Ceasar_Cypher/script.py,3,1
/CTF-FlagFrenzy/challenges/blob/main/Security_Maths/Writeup_SecurityMaths.md,3,1
/CTF-FlagFrenzy/challenges/tree/time_travelers_hunt/Time_Travelers_Hunt,3,1
/CTF-FlagFrenzy/challenges/activity,2,1
