url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,54,5
/CTF-FlagFrenzy/challenges/tree/main,11,2
/CTF-FlagFrenzy/challenges/blob/main/Time_Travelers_Hunt/writeup.md,9,3
/CTF-FlagFrenzy/challenges/blob/main/README.md,7,1
/CTF-FlagFrenzy/challenges/blob/main/The_Neverending_Zip/writeup.md,7,1
/CTF-FlagFrenzy/challenges/pulls,7,1
/CTF-FlagFrenzy/challenges/blob/main/Hidden_Job/writeup.md,6,3
/CTF-FlagFrenzy/challenges/blob/main/Git_Secrets_Layers_of_Discovery/writeup.md,6,2
/CTF-FlagFrenzy/challenges/blob/main/Hidden_Frequencies/writeup.md,6,2
/CTF-FlagFrenzy/challenges/blob/main/Security_Maths/Writeup_SecurityMaths.md,6,2
