url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,49,5
/CTF-FlagFrenzy/challenges/tree/main,10,2
/CTF-FlagFrenzy/challenges/blob/main/Time_Travelers_Hunt/writeup.md,7,3
/CTF-FlagFrenzy/challenges/blob/main/README.md,7,1
/CTF-FlagFrenzy/challenges/blob/main/The_Neverending_Zip/writeup.md,7,1
/CTF-FlagFrenzy/challenges/pulls,7,1
/CTF-FlagFrenzy/challenges/blob/main/Hidden_Job/writeup.md,6,3
/CTF-FlagFrenzy/challenges/blob/main/Security_Maths/Writeup_SecurityMaths.md,6,2
/CTF-FlagFrenzy/challenges/pull/70,6,1
/CTF-FlagFrenzy/challenges/tree/main/Decryption_Master,5,3
