url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,7,5
/CTF-FlagFrenzy/challenges/tree/main,4,2
/CTF-FlagFrenzy/challenges/tree/main/Solana_Dumb_Contract,3,1
/CTF-FlagFrenzy/challenges/blob/main/Git_Secrets_Layers_of_Discovery/writeup.md,2,1
/CTF-FlagFrenzy/challenges/blob/main/Solana_Dumb_Contract/writeup.md,2,1
/CTF-FlagFrenzy/challenges/tree/main/Profile_Prodigy,2,1
/CTF-FlagFrenzy/challenges/blob/main/Profile_Prodigy/Profile_Prodigy.md,1,1
/CTF-FlagFrenzy/challenges/blob/main/Profile_Prodigy/writeup.md,1,1
/CTF-FlagFrenzy/challenges/blob/main/Solana_Dumb_Contract/lib.rs,1,1
/CTF-FlagFrenzy/challenges/blob/main/Time_Travelers_Hunt/writeup.md,1,1
