url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges/pulls,25,2
/CTF-FlagFrenzy/challenges,18,5
/CTF-FlagFrenzy/challenges/network/dependencies,8,1
/CTF-FlagFrenzy/challenges/tree/main/Pydetect,6,3
/CTF-FlagFrenzy/challenges/tree/main,5,2
/CTF-FlagFrenzy/challenges/blob/main/The_Neverending_Zip/writeup.md,5,1
/CTF-FlagFrenzy/challenges/tree/main/The_Neverending_Zip,5,1
/CTF-FlagFrenzy/challenges/tree/main/Solana_Assets,4,2
/CTF-FlagFrenzy/challenges/blob/main/Solana_Assets/writeup.md,3,3
/CTF-FlagFrenzy/challenges/issues,3,2
