url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,15,4
/CTF-FlagFrenzy/challenges/branches,14,1
/CTF-FlagFrenzy/challenges/blob/main/Security_Maths/Writeup_SecurityMaths.md,3,1
/CTF-FlagFrenzy/challenges/tree/time_travelers_hunt/Time_Travelers_Hunt,3,1
/CTF-FlagFrenzy/challenges/projects,2,2
/CTF-FlagFrenzy/challenges/tree/main/Behind_The_Pixels,2,2
/CTF-FlagFrenzy/challenges/tree/main,2,1
/CTF-FlagFrenzy/challenges/tree/main/Security_Maths,2,1
/CTF-FlagFrenzy/challenges/actions,1,1
/CTF-FlagFrenzy/challenges/activity,1,1
