url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,29,4
/CTF-FlagFrenzy/challenges/tree/main,9,3
/CTF-FlagFrenzy/challenges/blob/main/README.md,7,2
/CTF-FlagFrenzy/challenges/pulls,5,3
/CTF-FlagFrenzy/challenges/edit/main/README.md,5,2
/CTF-FlagFrenzy/challenges/tree/main/Git_Secrets_Layers_of_Discovery,5,2
/CTF-FlagFrenzy/challenges/tree/main/Stealth_Invoice,4,2
/CTF-FlagFrenzy/challenges/blob/main/Git_Secrets_Layers_of_Discovery/writeup.md,3,2
/CTF-FlagFrenzy/challenges/pull/40,3,1
/CTF-FlagFrenzy/challenges/blob/main/Stealth_Invoice/writeup.md,2,2
