url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,10,2
/CTF-FlagFrenzy/challenges/tree/main/Ceasar_Cypher,5,1
/CTF-FlagFrenzy/challenges/tree/Milestone-2,4,1
/CTF-FlagFrenzy/challenges/tree/main,2,2
/CTF-FlagFrenzy/challenges/blob/main/Ceasar_Cypher/script.py,2,1
/CTF-FlagFrenzy/challenges/blob/main/Ceasar_Cypher/start.sh,2,1
/CTF-FlagFrenzy/challenges/tree/main/Time_Travelers_Hunt,2,1
/CTF-FlagFrenzy/challenges/tree/main/Time_Travelers_Hunt/website,2,1
/CTF-FlagFrenzy/challenges/actions/runs/12407492350/job/34637589170,1,1
/CTF-FlagFrenzy/challenges/blob/main/Ceasar_Cypher/Dockerfile,1,1
