time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-26 00:00:00+00:00,3,2,,
2025-01-27 00:00:00+00:00,1,1,,
2025-01-28 00:00:00+00:00,1,1,5.0,2.0
2025-01-29 00:00:00+00:00,1,1,1.0,1.0
2025-01-30 00:00:00+00:00,11,2,1.0,1.0
2025-01-31 00:00:00+00:00,5,3,2.0,2.0
2025-02-01 00:00:00+00:00,1,1,4.0,1.0
2025-02-02 00:00:00+00:00,24,2,46.0,3.0
2025-02-03 00:00:00+00:00,4,2,,
2025-02-04 00:00:00+00:00,24,2,25.0,3.0
2025-02-05 00:00:00+00:00,30,2,42.0,3.0
2025-02-06 00:00:00+00:00,12,2,41.0,4.0
2025-02-07 00:00:00+00:00,1,1,,
2025-02-08 00:00:00+00:00,1,1,1.0,1.0
