url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,5,3
/CTF-FlagFrenzy/challenges/blob/main/Time_Travelers_Hunt/writeup.md,3,1
/CTF-FlagFrenzy/challenges/tree/main,2,2
/CTF-FlagFrenzy/challenges/blob/main/Solana_Assets/media/image-3.png,2,1
/CTF-FlagFrenzy/challenges/blob/main/Solana_Assets/media/image.png,2,1
/CTF-FlagFrenzy/challenges/tree/main/Solana_Assets,2,1
/CTF-FlagFrenzy/challenges/tree/main/Time_Travelers_Hunt,2,1
/CTF-FlagFrenzy/challenges/blob/main/Behind_The_Pixels/writeup.md,1,1
/CTF-FlagFrenzy/challenges/blob/main/Profile_Prodigy/writeup.md,1,1
/CTF-FlagFrenzy/challenges/blob/main/Solana_Assets/media/image-1.png,1,1
