url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,11,3
/CTF-FlagFrenzy/challenges/tree/main/Pydetect,6,3
/CTF-FlagFrenzy/challenges/pulls,6,2
/CTF-FlagFrenzy/challenges/tree/main,6,2
/CTF-FlagFrenzy/challenges/blob/main/The_Neverending_Zip/writeup.md,5,1
/CTF-FlagFrenzy/challenges/tree/main/The_Neverending_Zip,5,1
/CTF-FlagFrenzy/challenges/blob/main/Time_Travelers_Hunt/writeup.md,4,1
/CTF-FlagFrenzy/challenges/blob/main/Hidden_Frequencies/writeup.md,3,1
/CTF-FlagFrenzy/challenges/tree/main/Binary_Puzzeling,3,1
/CTF-FlagFrenzy/challenges/tree/main/Git_Secrets_Layers_of_Discovery,3,1
