url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,8,3
/CTF-FlagFrenzy/challenges/blob/main/Time_Travelers_Hunt/writeup.md,4,1
/CTF-FlagFrenzy/challenges/tree/main,3,2
/CTF-FlagFrenzy/challenges/tree/main/Time_Travelers_Hunt,3,1
/CTF-FlagFrenzy/challenges/blob/main/Solana_Assets/media/image-3.png,2,1
/CTF-FlagFrenzy/challenges/blob/main/Solana_Assets/media/image.png,2,1
/CTF-FlagFrenzy/challenges/branches,2,1
/CTF-FlagFrenzy/challenges/tree/main/Behind_The_Pixels,2,1
/CTF-FlagFrenzy/challenges/tree/main/Solana_Assets,2,1
/CTF-FlagFrenzy/challenges/blob/main/Behind_The_Pixels/behind_the_pixels.md,1,1
