url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,6,3
/CTF-FlagFrenzy/challenges/blob/main/Security_Maths/Technical_Guide_SecurityMaths.md,6,2
/CTF-FlagFrenzy/challenges/tree/main/Security_Maths,6,2
/CTF-FlagFrenzy/challenges/blob/main/Security_Maths/Writeup_SecurityMaths.md,2,2
/CTF-FlagFrenzy/challenges/blob/main/README.md,2,1
/CTF-FlagFrenzy/challenges/edit/main/Security_Maths/Technical_Guide_SecurityMaths.md,2,1
/CTF-FlagFrenzy/challenges/actions,1,1
/CTF-FlagFrenzy/challenges/blob/main/package.json,1,1
/CTF-FlagFrenzy/challenges/blob/main/Security_Maths/SecurityMaths_Template.pdf,1,1
/CTF-FlagFrenzy/challenges/branches,1,1
