url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges/pulls,22,3
/CTF-FlagFrenzy/challenges,16,4
/CTF-FlagFrenzy/challenges/network/dependencies,8,1
/CTF-FlagFrenzy/challenges/pull/47,6,1
/CTF-FlagFrenzy/challenges/tree/main/Solana_Assets,4,2
/CTF-FlagFrenzy/challenges/issues,3,2
/CTF-FlagFrenzy/challenges/blob/main/Behind_The_Pixels/challenge/script.py,3,1
/CTF-FlagFrenzy/challenges/compare,3,1
/CTF-FlagFrenzy/challenges/pull/51,3,1
/CTF-FlagFrenzy/challenges/blob/main/Solana_Assets/solana_assets.md,2,2
