url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,39,4
/CTF-FlagFrenzy/challenges/tree/main,11,3
/CTF-FlagFrenzy/challenges/blob/main/README.md,7,2
/CTF-FlagFrenzy/challenges/pulls,6,3
/CTF-FlagFrenzy/challenges/tree/main/Hidden_Job,6,2
/CTF-FlagFrenzy/challenges/edit/main/README.md,5,2
/CTF-FlagFrenzy/challenges/tree/main/Git_Secrets_Layers_of_Discovery,5,2
/CTF-FlagFrenzy/challenges/tree/Hidden_Job,5,1
/CTF-FlagFrenzy/challenges/tree/main/Stealth_Invoice,4,2
/CTF-FlagFrenzy/challenges/tree/main/Hidden_Job/flask_app,4,1
