url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,20,4
/CTF-FlagFrenzy/challenges/branches,14,1
/CTF-FlagFrenzy/challenges/tree/main,4,1
/CTF-FlagFrenzy/challenges/blob/main/Security_Maths/Writeup_SecurityMaths.md,3,1
/CTF-FlagFrenzy/challenges/tree/time_travelers_hunt/Time_Travelers_Hunt,3,1
/CTF-FlagFrenzy/challenges/projects,2,2
/CTF-FlagFrenzy/challenges/tree/main/Behind_The_Pixels,2,2
/CTF-FlagFrenzy/challenges/blob/main/README.md,2,1
/CTF-FlagFrenzy/challenges/compare/time_travelers_hunt,2,1
/CTF-FlagFrenzy/challenges/edit/main/README.md,2,1
