url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,30,3
/CTF-FlagFrenzy/challenges/branches,19,1
/CTF-FlagFrenzy/challenges/tree/main/Ceasar_Cypher,8,1
/CTF-FlagFrenzy/challenges/tree/main,5,1
/CTF-FlagFrenzy/challenges/tree/Milestone-2,4,1
/CTF-FlagFrenzy/challenges/blob/main/Security_Maths/Writeup_SecurityMaths.md,3,1
/CTF-FlagFrenzy/challenges/tree/time_travelers_hunt/Time_Travelers_Hunt,3,1
/CTF-FlagFrenzy/challenges/tree/main/Behind_The_Pixels,2,2
/CTF-FlagFrenzy/challenges/activity,2,1
/CTF-FlagFrenzy/challenges/blob/main/Ceasar_Cypher/docker-compose.yml,2,1
