url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,13,5
/CTF-FlagFrenzy/challenges/tree/main,8,3
/CTF-FlagFrenzy/challenges/tree/main/Git_Secrets_Layers_of_Discovery,4,2
/CTF-FlagFrenzy/challenges/blob/main/Git_Secrets_Layers_of_Discovery/writeup.md,3,2
/CTF-FlagFrenzy/challenges/tree/main/Stealth_Invoice,2,2
/CTF-FlagFrenzy/challenges/blob/main/Git_Secrets_Layers_of_Discovery/media/deleted-files.png,2,1
/CTF-FlagFrenzy/challenges/blob/main/Solana_Assets/media/image-3.png,2,1
/CTF-FlagFrenzy/challenges/blob/main/Solana_Assets/media/image.png,2,1
/CTF-FlagFrenzy/challenges/blob/main/Time_Travelers_Hunt/writeup.md,2,1
/CTF-FlagFrenzy/challenges/pulls,2,1
