url_path,views_total,views_unique
/CTF-FlagFrenzy/challenges,14,3
/CTF-FlagFrenzy/challenges/tree/main,9,2
/CTF-FlagFrenzy/challenges/tree/main/Pydetect,7,3
/CTF-FlagFrenzy/challenges/pulls,6,2
/CTF-FlagFrenzy/challenges/blob/main/The_Neverending_Zip/writeup.md,5,1
/CTF-FlagFrenzy/challenges/tree/main/The_Neverending_Zip,5,1
/CTF-FlagFrenzy/challenges/blob/main/Hidden_Frequencies/writeup.md,4,1
/CTF-FlagFrenzy/challenges/blob/main/Time_Travelers_Hunt/writeup.md,4,1
/CTF-FlagFrenzy/challenges/blob/main/morse/morse.md,3,2
/CTF-FlagFrenzy/challenges/blob/main/Pydetect/Pydetect.md,3,2
