time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-14 00:00:00+00:00,21,2,21,3
2024-11-15 00:00:00+00:00,8,1,0,0
2024-11-16 00:00:00+00:00,5,1,0,0
2024-11-18 00:00:00+00:00,4,1,0,0
2024-11-20 00:00:00+00:00,0,0,3,1
2024-11-21 00:00:00+00:00,7,1,31,3
2024-11-28 00:00:00+00:00,23,2,4,1
2024-11-29 00:00:00+00:00,1,1,0,0
2024-11-30 00:00:00+00:00,1,1,0,0
2024-12-01 00:00:00+00:00,1,1,0,0
